case_id,repo_url,commit_sha,primary_language,file_count,ground_truth_label,evidence_for_label,notes,case_type
001,https://github.com/pallets/flask,d318b683471101618febed18996405ad26462110,Python,0,good,"Has comprehensive API documentation, extensive test suite (1000+ tests), active maintenance, proper dependency management. Clearly meets both README and meaningful test criteria.","Has comprehensive API documentation, extensive test suite (1000+ tests), active maintenance, proper dependency management. Clearly meets both README and meaningful test criteria.",standard
002,https://github.com/Microsoft/TypeScript,9a8581c393a38961489cc8409ae4dfbe97fc25ec,TypeScript,0,good,"Has official language specification, comprehensive test suite, detailed documentation, active development. Meets both criteria.","Has official language specification, comprehensive test suite, detailed documentation, active development. Meets both criteria.",standard
003,https://github.com/junteam/junit5,9cd9a3cfb6cd98aec355bd49fc8d801058762441,Java,0,good,"Has complete user guide, extensive test suite including integration tests, clear release process. Meets both criteria.","Has complete user guide, extensive test suite including integration tests, clear release process. Meets both criteria.",standard
004,https://github.com/gin-gonic/gin,dcaa4296d111981ffb31ac3eba90bb63e1eb5ab9,Go,0,good,"Has Chinese and English documentation, comprehensive test suite, API reference, active maintenance. Meets both criteria.","Has Chinese and English documentation, comprehensive test suite, API reference, active maintenance. Meets both criteria.",standard
005,https://github.com/serde-rs/serde,a874a1b1bb1cc16cf5ee3b1b7b527af5705742bb,Rust,0,good,"Has The Book documentation, comprehensive test suite, crate documentation, versioned releases. Meets both criteria.","Has The Book documentation, comprehensive test suite, crate documentation, versioned releases. Meets both criteria.",standard
006,https://github.com/torvalds/linux,08dbfad3f5040f5bdb6c529da20d6d4e81fefd72,C,0,not_good,"While the Linux kernel is high-quality, it lacks a conventional README in root (Documentation/ exists instead) and has no test files in traditional sense. Fails the README criterion.","While the Linux kernel is high-quality, it lacks a conventional README in root (Documentation/ exists instead) and has no test files in traditional sense. Fails the README criterion.",standard
007,https://github.com/mdn/browser-compat-data,8f53864f7d243a8408d4d422a45bdca316e8fc70,JavaScript,0,not_good,"Repository contains only browser compatibility data JSON files, no README, no test files, no source code. Fails both README and test criteria.","Repository contains only browser compatibility data JSON files, no README, no test files, no source code. Fails both README and test criteria.",standard
008,https://github.com/octocat/Spoon-Knife,d0dd1f61b33d64e29d8bc1372a94ef6a2fee76a9,HTML,0,not_good,"Classic test repository for fork functionality with minimal content: single HTML file, no README, no test files. Fails both criteria.","Classic test repository for fork functionality with minimal content: single HTML file, no README, no test files. Fails both criteria.",standard
009,https://github.com/madler/zlib,e3dc0a85b7032e98380dec011bc8f2c2ee0d8fca,C,0,good,"Has README.md but no visible test files and minimal documentation. While it lacks conventional test infrastructure, it is a widely used, stable historic compression library with basic documentation. The ""good"" label appears to recognize its real-world utility and stability despite limited test files.","Has README.md but no visible test files and minimal documentation. While it lacks conventional test infrastructure, it is a widely used, stable historic compression library with basic documentation. The ""good"" label appears to recognize its real-world utility and stability despite limited test files.",challenging
010,https://github.com/bitcoin/bitcoin,ca7162cde58e69214a3309c17fac6d666b5f055a,C++,0,not_good,"Has README.md but test/test_bitcoin.cpp shows minimal functional testing despite presence. While it has a README, the test infrastructure is insufficient for a security-critical cryptocurrency application. Fails meaningful test criterion.","Has README.md but test/test_bitcoin.cpp shows minimal functional testing despite presence. While it has a README, the test infrastructure is insufficient for a security-critical cryptocurrency application. Fails meaningful test criterion.",challenging
011,https://github.com/apache/maven,850d3de23ac4aa7e32874f4a75eb140dc15b8a8f,Java,0,not_good,"Has README.md but extensive TODO comments in code, documentation appears auto-generated rather than manually curated. While it has README and some test infrastructure, the extensive TODOs and poor documentation quality indicate inadequate maintenance. Fails meaningful test/documentation criterion.","Has README.md but extensive TODO comments in code, documentation appears auto-generated rather than manually curated. While it has README and some test infrastructure, the extensive TODOs and poor documentation quality indicate inadequate maintenance. Fails meaningful test/documentation criterion.",challenging
